id,issue_type,title,status,epic_id,priority,risk,size,tool_hint,tags,acceptance_criteria,description
1101,Story,E2-S1: Implement receipt schema and append-only receipt store,done,1100,P0,high,L,codex,roadmap12w|type:story|epic:E2|lane:backend|week:2-3|ticket:BE-101,Receipt schema supports actor/action/target/evidence linkage | Append-only writes are enforced for receipt history | Receipt integrity verification detects tampering,Type: Story. Epic: E2. Introduce core receipt persistence model and hash-chain integrity semantics.
1102,Story,E2-S2: Build proposal state machine and review/apply API,done,1100,P0,high,L,claude,roadmap12w|type:story|epic:E2|lane:backend-plugin|week:3-4,Proposal lifecycle states are persisted and queryable | Approve/reject/bulk actions are supported | Only approved proposals can enter apply workflow,Type: Story. Epic: E2. Add proposed->approved/rejected transitions with reviewer actions.
1103,Story,E2-S3: Implement transaction-safe apply and rollback adapter,done,1100,P0,high,L,codex,roadmap12w|type:story|epic:E2|lane:backend|week:4-5|ticket:BE-118,Apply operation records transaction + receipt linkage | Rollback restores pre-apply state for batch and single changes | Automated rollback tests pass for representative scenarios,Type: Story. Epic: E2. Wire approved proposals to transactional apply/undo semantics.
1104,Story,E2-S4: Capture and render evidence links for every proposal,done,1100,P1,medium,M,claude,roadmap12w|type:story|epic:E2|lane:plugin-ui|week:5-6|ticket:UI-219,Evidence references are stored with stable identifiers | Review UI can inspect evidence per proposal | Evidence remains intact after apply and rollback,Type: Story. Epic: E2. Persist xrefs/constants/callsites evidence and display in review UI.
1201,Story,E3-S1: Enforce capability-token guard on all agent/tool operations,done,1200,P0,critical,L,claude,roadmap12w|type:story|epic:E3|lane:security-backend|week:2-4|ticket:SEC-401,Every tool entrypoint validates capability token before action | Denied operations fail closed with explicit reason | Capability checks are covered by unit tests,Type: Story. Epic: E3. Implement capability checks for read/write/execute surfaces.
1202,Story,E3-S2: Implement policy modes and endpoint allowlist enforcement,done,1200,P0,critical,L,claude,roadmap12w|type:story|epic:E3|lane:security-backend|week:4-6|ticket:SEC-417,Policy modes are configurable per project | Allowlist mode blocks non-approved destinations | Policy violations trigger deterministic mitigation behavior,Type: Story. Epic: E3. Add offline/allowlist/cloud modes and enforce outbound policy.
1203,Story,E3-S3: Add permission audit logs and violation incident records,done,1200,P1,high,M,codex,roadmap12w|type:story|epic:E3|lane:security-backend|week:5-6,Security-relevant actions are logged with actor/time/target | Violation records include policy context and remediation action | Audit logs are queryable for compliance review,Type: Story. Epic: E3. Build auditable security event trails for agent/runtime actions.
1204,Story,E3-S4: Build security regression suite for no-direct-agent-write invariant,done,1200,P0,critical,M,codex,roadmap12w|type:story|epic:E3|lane:security-eval|week:6-7,Regression suite covers direct and indirect write paths | Failing security tests block merges | Invariant reports are attached to CI artifacts,Type: Story. Epic: E3. Add tests that prove agent cannot mutate canonical state directly.
1301,Story,E4-S1: Implement local embedding pipeline and similarity adapter baseline,done,1300,P0,high,L,codex,roadmap12w|type:story|epic:E4|lane:backend-ml|week:4-5|ticket:ML-301,Pipeline creates searchable vectors/features for target corpus slice | Baseline retrieval API returns deterministic top-k results | Pipeline runtime and index build stats are recorded,Type: Story. Epic: E4. Build local indexing/embedding ingestion path and baseline retrieval adapter.
1302,Story,E4-S2: Deliver semantic search query service and in-tool search panel,done,1300,P0,high,L,claude,roadmap12w|type:story|epic:E4|lane:backend-plugin|week:5-7,Search service supports intent query and similar-function query | UI displays ranked results with provenance/evidence references | Search interactions are instrumented for latency metrics,Type: Story. Epic: E4. Expose intent/similarity queries to analysts through plugin UI.
1303,Story,E4-S3: Add evidence-weighted reranking for semantic results,done,1300,P1,high,M,codex,roadmap12w|type:story|epic:E4|lane:ml|week:6-7,Reranker consumes evidence-derived features | Result ordering improves against baseline on eval slice | Fallback path exists if reranker is unavailable,Type: Story. Epic: E4. Improve ranking quality using receipts/evidence-derived signals.
1304,Story,E4-S4: Meet semantic search recall/latency gates at MVP scale,done,1300,P0,critical,L,codex,roadmap12w|type:story|epic:E4|lane:backend-ml-eval|week:7-8,p95 search latency meets defined gate on target corpus size | Recall@10 improves by target delta versus stock baseline | Benchmark report is reproducible from CI artifacts,Type: Story. Epic: E4. Tune indexing/query path to hit p95 latency and recall targets.
1401,Story,E5-S1: Implement deterministic triage mission graph and feature extractor,done,1400,P0,high,L,claude,roadmap12w|type:story|epic:E5|lane:ml-plugin|week:7-8|ticket:ML-327,Triage mission runs through deterministic stage graph | Mission emits entrypoints/hotspots/unknowns with evidence refs | Mission execution summary is persisted as artifact,Type: Story. Epic: E5. Build triage crew mission pipeline with fixed stages and evidence hooks.
1402,Story,E5-S2: Add triage mission UI and exportable report artifacts,done,1400,P1,medium,M,claude,roadmap12w|type:story|epic:E5|lane:plugin-ui|week:8-9,Analyst can inspect triage map and ranked hotspots in UI | Mission outputs export to versionable artifact format | Evidence links are navigable from report to source context,Type: Story. Epic: E5. Render mission outputs in-plugin and export machine-readable summaries.
1403,Story,E5-S3: Calibrate triage scoring against curated benchmark set,done,1400,P0,high,M,codex,roadmap12w|type:story|epic:E5|lane:ml-eval|week:9-10,Curated triage benchmark set is versioned | Scoring calibration improves key metrics to target threshold | Calibration changes are documented with before/after results,Type: Story. Epic: E5. Measure and tune triage precision/recall against curated labeled corpus.
1501,Story,E6-S1: Persist type assertions with lifecycle metadata,done,1500,P1,high,L,codex,roadmap12w|type:story|epic:E6|lane:backend|week:8-9,"Type assertions persist target, source, confidence, and state | Lifecycle transitions are validated server-side | Type assertions link to receipt and evidence records",Type: Story. Epic: E6. Implement storage model for type assertions and lifecycle states.
1502,Story,E6-S2: Build Type PR review panel and workflow actions,done,1500,P1,high,M,claude,roadmap12w|type:story|epic:E6|lane:plugin-ui|week:9-10,Type PR list/detail views are available in plugin UI | Review actions update lifecycle state atomically | Reviewer comments and rationale are persisted,Type: Story. Epic: E6. Add reviewer UI for type proposal packs with approve/reject/change requests.
1503,Story,E6-S3: Implement type propagation and conflict-resolution mechanics,done,1500,P0,critical,L,codex,roadmap12w|type:story|epic:E6|lane:backend-plugin|week:10-11,Accepted types propagate according to configured scope rules | Conflicts surface with deterministic resolution workflow | Propagation can be rolled back cleanly,Type: Story. Epic: E6. Propagate accepted types and handle competing assertions safely.
1504,Story,E6-S4: Add type suggestion generator with confidence thresholds,done,1500,P1,high,M,codex,roadmap12w|type:story|epic:E6|lane:ml-backend|week:10-11,Suggestions include confidence and evidence summary | Low-confidence suggestions are quarantined by policy | Suggestion quality metrics are collected in CI,Type: Story. Epic: E6. Generate type suggestions with confidence scoring and threshold policy.
1601,Story,E7-S1: Build approved-only corpus sync worker,done,1600,P0,high,L,codex,roadmap12w|type:story|epic:E7|lane:backend|week:10-11,Sync worker filters out non-approved proposals | Sync jobs are idempotent and resumable | Sync telemetry includes counts/errors/latency,Type: Story. Epic: E7. Sync only approved artifacts from local store to shared corpus backend.
1602,Story,E7-S2: Enforce provenance and access controls on corpus sync/read paths,done,1600,P0,critical,L,claude,roadmap12w|type:story|epic:E7|lane:security-backend|week:11,Synced artifacts retain complete provenance chain | Access control checks are enforced on sync and retrieval | Unauthorized requests are denied and audited,Type: Story. Epic: E7. Require provenance continuity and policy checks for shared corpus operations.
1603,Story,E7-S3: Implement cross-binary reuse and pullback into local analysis session,done,1600,P1,high,M,codex,roadmap12w|type:story|epic:E7|lane:backend-plugin|week:11-12,Cross-binary match retrieval works from local session | Reused artifacts are inserted as proposals with receipts | Analyst can accept/reject pulled suggestions in normal review flow,Type: Story. Epic: E7. Query corpus for reusable names/types/annotations and apply as proposals locally.
1701,Story,"E8-S1: Run full regression and soak test, fix release-blocking bottlenecks",done,1700,P0,critical,L,codex,roadmap12w|type:story|epic:E8|lane:all|week:11,Regression suite runs to completion on release candidate | All blocking failures have fixes or explicit waivers | Soak test report includes performance and stability trends,Type: Story. Epic: E8. Execute full test matrix and harden bottlenecks before RC.
1702,Story,E8-S2: Execute adversarial abuse scenarios and complete security signoff,open,1700,P0,critical,M,claude,roadmap12w|type:story|epic:E8|lane:security|week:11-12,Abuse scenario suite executes with documented outcomes | Critical findings are remediated or formally accepted | Security signoff checklist is completed and versioned,Type: Story. Epic: E8. Validate runtime against abuse/prompt-injection/policy-bypass scenarios.
1703,Story,E8-S3: Package release candidate and publish operator/reviewer runbook,done,1700,P1,medium,S,claude,roadmap12w|type:story|epic:E8|lane:docs-release|week:12,"Release candidate is packaged with versioned changelog | Runbook covers setup, review flow, rollback, and incident handling | Known limitations are explicitly documented",Type: Story. Epic: E8. Produce installable RC and operational docs for analysts/reviewers/operators.
1704,Story,E8-S4: Produce MVP exit-gate report and final go/no-go decision artifact,open,1700,P0,high,S,codex,roadmap12w|type:story|epic:E8|lane:all|week:12,Exit-gate report includes all required metrics and pass/fail status | Risk register and unresolved items are explicitly listed | Go/no-go decision is documented with rationale and approvers,Type: Story. Epic: E8. Consolidate gate outcomes and record formal release decision.
